EmployeeId|Name|Email|PhoneNo|DateOfBirth|Department|Salary|TotalSickLeaves|UsedSickLeaves|TotalCasualLeaves|UsedCasualLeaves|MaritalStatus|FatherName|MotherName|SpouseName|KidsDetails|DaughterName|SonName
1101|Test1|Test1@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test1|Test1|Test1|2|Test1|Test1
1102|Test2|Test2@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test2|Test2|Test2|2|Test2|Test2
1103|Test3|Test3@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test3|Test3|Test3|2|Test3|Test3
1104|Test4|Test4@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test4|Test4|Test4|2|Test4|Test4
1105|Test5|Test5@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test5|Test5|Test5|2|Test5|Test5
1106|Test6|Test6@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test6|Test6|Test6|2|Test6|Test6
1107|Test7|Test7@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test7|Test7|Test7|2|Test7|Test7
1108|Test8|Test8@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test8|Test8|Test8|2|Test8|Test8
1109|Test9|Test9@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test9|Test9|Test9|2|Test9|Test9
11010|Test10|Test10@test.com|9999999999|02-09-1995|Software|600000|10|2|15|3|Single|Test10|Test10||||
11011|Test11|Test11@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test11|Test11|Test11|2|Test11|Test11
11012|Test12|Test12@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test12|Test12|Test12|2|Test12|Test12
11013|Test13|Test13@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test13|Test13|Test13|2|Test13|Test13
11014|Test14|Test14@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test14|Test14|Test14|2|Test14|Test14
11015|Test15|Test15@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test15|Test15|Test15|2|Test15|Test15
11016|Test16|Test16@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test16|Test16|Test16|2|Test16|Test16
11017|Test17|Test17@test.com|9999999999|02-09-1995|Software|600000|10|2|15|3|Single|Test17|Test17||||
11018|Test18|Test18@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test18|Test18|Test18|2|Test18|Test18
11019|Test19|Test19@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test19|Test19|Test19|2|Test19|Test19
11020|Test20|Test20@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test20|Test20|Test20|2|Test20|Test20
11021|Test21|Test21@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test21|Test21|Test21|2|Test21|Test21
11022|Test22|Test22@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test22|Test22|Test22|2|Test22|Test22
11023|Test23|Test23@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test23|Test23|Test23|2|Test23|Test23
11024|Test24|Test24@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test24|Test24|Test24|2|Test24|Test24
11025|Test25|Test25@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test25|Test25|Test25|2|Test25|Test25
11026|Test26|Test26@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test26|Test26|Test26|2|Test26|Test26
11027|Test27|Test27@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test27|Test27|Test27|2|Test27|Test27
11028|Test28|Test28@test.com|9999999999|02-08-1985|Admin|500000|10|2|15|3|Married|Test28|Test28|Test28|2|Test28|Test28
